map,weapon,attacker_position.x,attacker_position.y,attacker_position.z,attacker_side,victim_position.x,victim_position.y,victim_position.z,victim_side
de_mirage,Awp,-1727.4395,826.7979,-47.96875,CT,-1459.6285,698.84534,-47.96875,Terrorist
de_mirage,Glock,-1891.2466,754.96564,-47.96875,Terrorist,-2504.7786,348.68997,-167.96875,CT
de_mirage,Awp,-2259.9763,512.7948,-167.96875,Terrorist,-1249.1144,500.96628,-162.96234,CT
de_mirage,Awp,-1706.8207,-678.9438,-167.96898,CT,-2289.2063,370.8369,-167.96875,Terrorist
de_mirage,Ak47,-327.38812,-334.07034,-163.96875,Terrorist,-631.30676,-456.79813,-167.49995,CT
de_mirage,Awp,-801.42664,-2224.7485,-179.81851,CT,-592.6892,-344.17316,-167.96875,Terrorist
de_mirage,Awp,-1727.4395,826.7979,-47.96875,CT,-1459.6285,698.84534,-47.96875,Terrorist
de_mirage,Glock,-1891.2466,754.96564,-47.96875,Terrorist,-2504.7786,348.68997,-167.96875,CT
de_mirage,Awp,-2259.9763,512.7948,-167.96875,Terrorist,-1249.1144,500.96628,-162.96234,CT
de_mirage,Awp,-1706.8207,-678.9438,-167.96898,CT,-2289.2063,370.8369,-167.96875,Terrorist
de_mirage,FiveSeven,-1689.3514,-200.41417,-167.96875,CT,-1844.0743,256.3469,-160.94922,Terrorist
de_mirage,Awp,-1676.0035,270.25925,-169.38385,CT,-751.5369,224.7917,-172.52913,Terrorist
de_mirage,M4a4,-738.44257,-2098.3455,-179.96875,CT,128.64421,-1421.6023,-175.96875,Terrorist
de_mirage,M4a4,-738.44257,-2098.3455,-179.96875,CT,128.64421,-1421.6023,-175.96875,Terrorist
de_mirage,M4a4,-738.44257,-2098.3455,-179.96875,CT,128.64421,-1421.6023,-175.96875,Terrorist
de_mirage,M4a4,-738.44257,-2098.3455,-179.96875,CT,128.64421,-1421.6023,-175.96875,Terrorist
de_mirage,M4a4,-738.44257,-2098.3455,-179.96875,CT,128.64421,-1421.6023,-175.96875,Terrorist
